title,creation_date,medium,accession_number,credit_line,date_acquired,department,physical_location,item_width,item_height,item_depth,item_diameter,provenance_text,classification,party_type,cited_name,role,nationality,birth_date,death_date,birth_place,death_place
Vase,  1896,glazed earthenware with slip decoration,2011.3,DuPuy Fund,2/3/11,Decorative Arts and Design,Hall of Sculpture Balcony,0,14.25,0,6.25,"Jason Jacques, Inc., 2002–present 
Jerome Shaw Collection, Bloomfield Hills, MI, before 2002",Ceramics,Person|Organization,"Laeuger, Max|Tonwerke Kandern Pottery",designer|manufacturer,German,1864-01-01|1895-01-01,1952-01-01|,"Lörrach, Germany|","Lörrach, Germany|"
Vase,  1902,glazed earthenware,2011.2,Purchase: Gift of Dr. David Werner and Sue Werner,2/3/11,Decorative Arts and Design,Hall of Sculpture Balcony,0,13.75,0,6.25,"Jason Jacques, Inc., 2002–present 
Jerome Shaw Collection, Bloomfield Hills, MI, before 2002",Ceramics,Organization,Arabia Porcelain Factory,,Finnish,1874-01-01,,,
Water decanter,1818-1819,glass,2011.8.A-.B,Ailsa Mellon Bruce Fund,4/7/11,Decorative Arts and Design,"Gallery 18, Bruce Galleries",0,11.5,0,5,"Christopher T. Rebollo, Mechanicsville, Pennsylvania, Spring 2010–present
Sold at Auction in eastern Pennsylvania, Spring 2010
Probably part of the Presidential Service for James Monroe, which remained at the White House from 1819 to c. 1833",Glass,Organization,"Bakewell, Page and Bakewell",,American,1813-01-01,1827-01-01,,
Cuspadore,1800-1899,glass,2011.42,Gift of Harley Niles Trice,6/2/11,Decorative Arts and Design,"Gallery 20, Bruce Galleries",0,5.625,0,8.25,,containers,Person,"unknown American, PA, Western",,American,,,,
Sconce,1885,"patinated copper, silver-plated brass, and glass",2011.9,Decorative Arts Purchase Fund,4/7/11,Decorative Arts and Design,"Gallery 20, Bruce Galleries",13,18,5,0,,lighting devices,Organization,Bradley & Hubbard Manufacturing Company,,American,1854-01-01,1/1/40,,
Radiaver,1937,"glass, aluminum, and nickeled steel",2011.52,Decorative Arts Purchase Fund,10/6/11,Decorative Arts and Design,"Gallery 21, Bruce Galleries",16.75,23.25,5.125,0,,Glass,Person|Organization,"Coulon, René-André|Saint Gobain",designer|manufacturer,French,1908-01-01|,1997-01-01|,|,|
Water decanter,1818-1819,glass,2011.16.A-.B,Ailsa Mellon Bruce Fund and Gift of Christopher T. Rebollo,6/2/11,Decorative Arts and Design,"Gallery 18, Bruce Galleries",0,11.5,0,5,"Christopher T. Rebollo, Mechanicsville, Pennsylvania, Spring 2010–present
Sold at Auction in eastern Pennsylvania, Spring 2010
Probably part of the Presidential Service for James Monroe, which remained at the White House from 1819 to c. 1833",Glass,Organization,"Bakewell, Page and Bakewell",,American,1813-01-01,1827-01-01,,
Silver Streak iron,  1942,"Pyrex glass, nickeled steel, phenolic plastic resin, and original synthetic fabric cord",2011.53,James L. Winokur Fund,10/6/11,Decorative Arts and Design,"Gallery 21, Bruce Galleries",3.75,8.5,6.5,0,,tools and equipment,Organization|Organization,Saunders Corporation|Corning Glass Works,|,American,1858-01-01|1851-01-01,|1989-01-01,|,|
Settee,  1876,"walnut, with ebonized decoration, and original fabric wrapped steel",2011.59,Gift of Richard L. Simmons,10/6/11,Decorative Arts and Design,"Gallery 7, Scaife Galleries",69,39,25,0,,Wood,Person,"Hunzinger, George J.",,American,1835-01-01,1893-01-01,,
"Mathilde Holding Baby, Reaching out to Right", 1889,pastel on tan paper mounted to board,2011.47,"Heinz Family Fund, Robert S. Waters Charitable Trust Fund, Major Paintings Acquisition Fund, Alan G. and Jane A. Lehman Fund, Alice and Jim Beckwith Art Acquisition Fund and Foster Charitable Trust Fund",6/22/11,Fine Arts,Forum Gallery,23.75,28.625,3.25,0,"Mary Cassatt [1844-1926], until 1890; gift to Dr. Paulin, in 1890; Paulin-Nijhoff; sold at Galerie Georges Petit, Paris, France, May 22, 1919, lot 38 [1]; acquired by Durand-Ruel, Paris, France [2]; Durand-Ruel, New York, NY, April 20, 1920 [3]; acquired by Private collection, Switzerland, in 1948; acquired by International Galleries, Chicago, IL, in 1964; Mr. and Mrs. Robert S. Johnson, Chicago, IL, 1964; Sotheby's New York, NY, December 3, 2009, lot 38 [4]; R. S. Johnson Fine Art, Chicago, IL, in 2010 [5]; sold at Christie's, London, England, June 22, 2011, lot 154 [6]; purchased by Carnegie Museum of Art, Pittsburgh, PA, June 2011.
 
Notes:
[1]. Paulin-Nijhoff sale. 
[2]. Durand-Ruel no. 11514, photo 8779.
[3]. Durand-Ruel NY no. 4441.
[4]. ""American Paintings, Drawings & Sculpture,"" bought-in. 
[5]. In Spring 2010 catalogue, page 18, no. 5.
[6]. Illustrated in catalogue, p. 62.

Updated and under review by CGK.",drawings and watercolors,Person,"Cassatt, Mary",,American,1844-05-22,6/14/26,"Pittsburgh (Allegheny City), PA","Le Mesnil-Théribus, France"
Projection Sculpture (Projektionsplastik weiß),1962-1963,"Pieces of a mattress, white thread, clear synthetic resin",2011.48,The Henry L. Hillman Fund and A. W. Mellon Acquisition Endowment Fund,10/6/11,Contemporary Art,"Gallery 13, Scaife Galleries",25.375,35.375,6.75,0,"Collection of the artist, Franz Erhard Walther Foundation; (Peter Freeman, Inc.) as agent, 2011; Museum purchase, 2011.",sculpture,Person,"Walther, Franz Erhard",,German,1/1/39,,Germany,
Semiramis vase,1904-1906,stoneware with glazed cabochons and gilded decoration,2011.7,Gift of Mr. and Mrs. Alexander C. Speyer III,2/2/12,Decorative Arts and Design,"Gallery 20, Bruce Galleries",0,11,0,7,,Ceramics,Organization,Amphora Porzellanfabrik,,Bohemian,1892-01-01,1/1/45,,
Shredded Collection Side Table: Details Edition (prototype),2010,"shredded magazines, binding agent",2012.5,Richard L. Simmons Acquisition Fund,2/2/12,Decorative Arts and Design,"Gallery 21, Bruce Galleries",33,29.5,16,0,"Acquired directly from the artist's studio, through Industry Gallery, Washington DC",furniture,Person,"Praet, Jens",,Belgian,1/1/84,,,
Vase,1900,glazed earthenware and copper,2012.1,"Berdan Memorial Trust Fund, DuPuy Fund, Decorative Arts Purchase Fund, Women's Committee Acquisition Fund, Harlan E. Youel Bequest Fund, Edgar L. Levenson Fund, and the following, by exchange: Anonymous Gift, Dr. Grace K. Martin, G. David Thompson, Margaret Taylor Douglass, Mr. and Mrs. G. Harton Singer III and Mr. and Mrs. Pearce D. Smith, in memory of Anna Turner Singer, Mrs. Paul B. Ernst, Walter Read Hovey, Childs Frick, Mrs. David P. Bennett, Sr. in memory of Joseph D. Bennett, Dr. Frank Anderson Trapp, and Mrs. Jay Klein",2/2/12,Decorative Arts and Design,"Gallery 20, Bruce Galleries",0,18.25,0,5.75,"Collection of Jerome and Patricia Shaw (Michigan and Miami, Florida)",Ceramics,Person|Organization,Kataro Shirayamadani|Rookwood Pottery,decorator|,American,1865-01-01|1880-01-01,1948-01-01|1967-01-01,Japan|,United States|
Benvenuto Cellini (1500-1571),  1837,bronze,2012.16,Gift of Carol and Herbert Diamond,4/5/12,Fine Arts,"Gallery 4, Scaife Galleries",7.25,19.875,6.625,0,"Jean-Jacques [1807-1852]. Private collection, Chantilly France; David and Constance Yates, NY, in 2007; sold to Herb and Carol Diamond, Pittsburgh, PA, in 2007; gift to Carnegie Museum of Art, 2012.",sculpture,Person,"Feuchère, J-J",,French,1807-01-01,1852-01-01,France,France
Plate,  1770,porcelain with enamel and gilded decoration,2012.19.2,"Purchase, with funds from The Buddy Taub Foundation, Dennis A. Roach and Jill Roach, Directors",5/15/12,Decorative Arts and Design,"Gallery 19, Bruce Galleries",0,1,0,8.625,,Ceramics,Person,unknown Chinese,,Chinese,,,,
Tureen and platter,  1745,porcelain with enamel and gilded decoration,2012.19.1.A-.C,"Purchase, with funds from The Buddy Taub Foundation, Dennis A. Roach and Jill Roach, Directors",5/15/12,Decorative Arts and Design,"Gallery 19, Bruce Galleries",13,9,9.125,0,,Ceramics,Person,unknown Chinese,,Chinese,,,,
Secretary,  1820,"mahogany, oak, birch, beech, satinwood, pine, bronze, brass, glass, and marble",2012.17,"Ailsa Mellon Bruce Fund, and the following, by exchange: Gifts of Barbara Ackerman, James Berkman, Richard Berkman, Helen Habbert, and Susan Rahm; George Leary; Henry Oliver Rea Charitable Trust; Mr. and Mrs. Richard M. Scaife through the Sarah Mellon Scaife Foundation; Mrs. Paul B. Ernst; and Robert S. Waters; Bequests of Elizabeth Braun Ernst, Greta S. Heckett, Alison M. Walter, and Mary E. B. Gordon; Gifts of Mr. and Mrs. Frederic L. Cook; Mrs. Edward Pitcairn; Mr. and Mrs. Charles Denby; Mr. Thomas Nimick; Rosamond Reed Denby in memory of Adele Wilcox Reed; Eleanore E. Stoney and Mary L. Edwards; and Mrs. James A. Danahey",5/15/12,Decorative Arts and Design,"Gallery 20, Bruce Galleries",43.701,72.047,19.685,0,,furniture,Person,"Heiden, Fritz",,German,,,,
Chair,  1911,walnut,2012.28,"DuPuy Fund, Edgar L. Levenson Fund, and James L. Winokur Fund",10/4/12,Decorative Arts and Design,"Gallery 18, Bruce Galleries",18.307,36.614,19.095,0,,Wood,Person,"Janák, Pavel",,Czech,1882-01-01,1/1/56,,
Chandelier,1904,"brass, copper, and glass",2012.26,"Ailsa Mellon Bruce Fund, Berdan Memorial Trust Fund, Women's Committee Acquisition Fund, Second Century Acquisition Fund, Decorative Arts Purchase Fund, Helen Johnston Acquisition Fund, DuPuy Fund, and Martha Mack Lewis Fund",10/4/12,Decorative Arts and Design,"Gallery 21, Bruce Galleries",0,56,0,28,"Acquired from Galerie Historismus, Brussels
Procured from the descendants of the original owners
Commissioned by Peter Hermann Harkort and Elizabeth Funcke Harkort in 1904, Wetter, Germany",lighting devices,Person|Organization,"Velde, Henry van de|Otto Seyffart Werkstätten für Kunstgewerbliche Metallarbeiten",designer|maker,Belgian|German,1863-01-01|,1957-01-01|,"Antwerp, Belgium|","Zurich, Switzerland|"
Armchair,1928,nickel-plated steel and wool,2015.17,Gift of Roberto Polo,5/7/15,Decorative Arts and Design,"Gallery 18, Bruce Galleries",20.5,30.5,17.75,0,"Galerie Historismus, Brussels, Belgium, until May 7, 2015; gift to Carnegie Museum of Art, Pittsburgh, PA, May 7, 2015.",furniture,Person|Organization,"Baugniet, Marcel-Louis|Les Anciennes Usines Annoye",designer|manufacturer,Belgian,1896-01-01|,1995-01-01|,|,|
Young Woman Kneeling,  1900,"bronze, on marble base",2012.48,Gift of Marshall and Wallis Katz,12/13/12,Fine Arts,"Gallery 4, Scaife Galleries",2.75,7,4,0,"Aristide Maillol [1861-1944], Banyuls-sur-Mer, Roussillon, France. Gallery in Paris, France, possibly Galerie Hervé, Paris, France, possibly 1950s [1]; Mr. [c.1913-1991] and Mrs. Joseph M. Katz (Agnes Katz), Pittsburgh, PA and New York, NY, possibly 1950s but by November 1968 [2]; by descent to Marshall P. Katz, Pittsburgh, PA, until December 12, 2012; gift to Carnegie Museum of Art, Pittsburgh, PA, December 2012.

Notes:
[1]. See curatorial file for correspondence from Marshall P. Katz.
[2]. Mr. and Mrs. Joseph M. Katz lent the sculpture (no. 49) to the exhibition ""Sculpture We Live with: Privately Owned in the Pittsburgh Area"" held at the Museum of Art, Carnegie Institute, November 1968 - January 1969.",sculpture,Person,"Maillol, Aristide",,French,1861-01-01,1/1/44,"Banyuls-sur-Mer (Pyrénées-Orientales, Languedoc-Roussillon, France)","Perpignan (Pyrénées-Orientales, Languedoc-Roussillon, France)"
Noah,2011,acrylic on canvas,2013.19,Gift of Nancy and Milton Washington,5/23/13,Contemporary Art,Forum Gallery,76.732,96.457,2,0,,paintings,Person,"Taylor, Henry",,American,1/1/58,,"Oxnard, California, United States of America",
untitled: upturnedhouse,2012,"timber, plywood, scrim, cement, polystyrene, polyfiller, paint, varnish",2013.23,The Henry L. Hillman Fund,9/12/13,Contemporary Art,"Gallery 13, Scaife Galleries",200,138,128,0,"(Hauser & Worth Gallery), New York, NY, 2012; Museum purchase, 2012.


TBF 10/30/14",sculpture,Person,"Barlow, Phyllida",,British,1/1/44,,"Newcastle upon Tyne, England",
Locating Centers,2013,casein and acrylic on board with plaster and polymer clay,2013.44.A-.NN,"The Henry L. Hillman Fund
Commissioned by Carnegie Museum of Art for the 2013 Carnegie International",12/12/13,Contemporary Art,"Gallery 16, Scaife Galleries",18,26.875,0.875,0,,paintings,Person,"Benning, Sadie",,American,1/1/73,,"Milwaukee, Wisconsin, United States of America",
That Was Then,2013,acrylic on canvas,2013.12,The Henry L. Hillman Fund,5/23/13,Contemporary Art,"Gallery 16, Scaife Galleries",75,95,3.25,0,"Henry Taylor, Los Angeles, CA; (Blum & Poe, Los Angeles, CA); Carnegie Museum of Art, Pittsburgh, PA",paintings,Person,"Taylor, Henry",,American,1/1/58,,"Oxnard, California, United States of America",
Electric tea kettle,1927,silver plated metal,2013.15.A-.C,Women’s Committee Acquisition Fund,5/23/13,Decorative Arts and Design,"Gallery 21, Bruce Galleries",8.5,9.5,5.125,0,,containers,Person,"Janák, Pavel",,Czech,1882-01-01,1/1/56,,
Vase,1899,Porcelain,2013.25,Women's Committee Acquisition Fund,9/12/13,Decorative Arts and Design,"Gallery 20, Bruce Galleries",13,10.5,0,4.5,"Jason Jacques
Collection of Jim and Rose Ryan",Ceramics,Organization,Sèvres Porcelain Factory,,French,1756-01-01,,,
Chair,1950,laminated plywood and nylon cord,2013.31,Gift of Sheryl & Bruce Wolf,9/12/13,Decorative Arts and Design,"Gallery 21, Bruce Galleries",22,32.75,24,0,"Sheryl and Bruce Wolf, Pittsburgh",Wood,Person|Organization,"Guillon, Jacques|Andreef Chairs, Inc.",designer|Retailer,Canadian,1922-01-01|,|,France|,|
Untitled,2013,Epson UltraChrome K3 inkjet on linen,2013.38,The Henry L. Hillman Fund,12/12/13,Contemporary Art,"Gallery 16, Scaife Galleries",108,128,2,0,,paintings,Person,"Guyton, Wade",,American,1/1/72,,"Hammond, Indiana, United States of America",
Prince of Swords,2013,"plaster, wood, burlap, ceramic, and crystal",2014.2,The Henry L. Hillman Fund,2/13/14,Contemporary Art,Hall of Sculpture Balcony,46,77,27,0,"Created for the 2013 Carnegie International; (Koenig & Clinton Gallery), New York, NY as agent, 2013; Museum purchase, 2013. 

TBF 10/31/14",sculpture,Person,"Eisenman, Nicole",,American,1/1/65,,"Verdun-sur-Meuse (Meuse, Lorraine, France)",
Portrait of David Hillenbrand,2013,oil on canvas,2014.37,Purchase: Gift of Friends,6/26/14,Contemporary Art,Carnegie Music Hall and Foyer,36.125,44.125,1.375,0,,paintings,Person,"Polson, Steven",,American,1/1/62,,,
Sugar bowl,1850–1870,glass,2013.30.1.A-.B,Gift of Peter Tillou in Memory of Senator John Heinz,9/12/13,Decorative Arts and Design,"Gallery 19, Bruce Galleries",0,11.5,0,5.375,"Peter Tillou, Litchfield, CT",Glass,Person,"unknown American, PA, Pittsburgh",,American,,,,
Pitcher,1850-1870,glass,2013.30.2,Gift of Peter Tillou in Memory of Senator John Heinz,9/12/13,Decorative Arts and Design,"Gallery 19, Bruce Galleries",6.5,10.5,5.25,0,"Peter Tillou, Litchfield, CT",Glass,Person,"unknown American, PA, Pittsburgh",,American,,,,
Bar decanter,1830–1860,glass,2013.30.3,Gift of Peter Tillou in Memory of Senator John Heinz,9/12/13,Decorative Arts and Design,"Gallery 19, Bruce Galleries",0,11,0,5,"Peter Tillou, Litchfield, CT",containers,Person,"unknown American, PA, Pittsburgh",,American,,,,
Decanter,1830–1860,glass,2013.30.5,Gift of Peter Tillou in Memory of Senator John Heinz,9/12/13,Decorative Arts and Design,"Gallery 19, Bruce Galleries",0,11,0,5,"Peter Tillou, Litchfield, CT",Glass,Person,"unknown American, PA, Pittsburgh",,American,,,,
Celery glass,  1850,glass,2013.30.10,Gift of Peter Tillou in Memory of Senator John Heinz,9/12/13,Decorative Arts and Design,"Gallery 19, Bruce Galleries",0,9,0,5.5,"Peter Tillou, Litchfield, CT",Glass,Person,"unknown American, PA, Pittsburgh",,American,,,,
Celery glass,1800-1825,glass,2013.30.11,Gift of Peter Tillou in Memory of Senator John Heinz,9/12/13,Decorative Arts and Design,"Gallery 20, Bruce Galleries",0,8,0,4.687,"Peter Tillou, Litchfield, CT",Glass,Person,"unknown American, PA, Pittsburgh",,American,,,,
Celery glass,1840-1870,glass,2013.30.12,Gift of Peter Tillou in Memory of Senator John Heinz,9/12/13,Decorative Arts and Design,"Gallery 19, Bruce Galleries",0,9,0,5.375,"Peter Tillou, Litchfield, CT",Glass,Person,"unknown American, PA, Pittsburgh",,American,,,,
Celery glass,  1850,glass,2013.30.13,Gift of Peter Tillou in Memory of Senator John Heinz,9/12/13,Decorative Arts and Design,"Gallery 20, Bruce Galleries",0,10.25,0,5.25,"Peter Tillou, Litchfield, CT",Glass,Person,"unknown American, PA, Pittsburgh",,American,,,,
Celery glass,1840-1870,glass,2013.30.14,Gift of Peter Tillou in Memory of Senator John Heinz,9/12/13,Decorative Arts and Design,"Gallery 19, Bruce Galleries",0,9.5,0,5.375,"Peter Tillou, Litchfield, CT",Glass,Person,"unknown American, PA, Pittsburgh",,American,,,,
Compote,1830-1860,glass,2013.30.15,Gift of Peter Tillou in Memory of Senator John Heinz,9/12/13,Decorative Arts and Design,"Gallery 19, Bruce Galleries",0,8,0,9.25,"Peter Tillou, Litchfield, CT",Glass,Person,"unknown American, PA, Pittsburgh",,American,,,,
Compote,1830-1860,glass,2013.30.16.A-.B,Gift of Peter Tillou in Memory of Senator John Heinz,9/12/13,Decorative Arts and Design,"Gallery 19, Bruce Galleries",0,15.5,0,9.75,"Peter Tillou, Litchfield, CT",Glass,Person,"unknown American, PA, Pittsburgh",,American,,,,
Compote,1820-1850,glass,2013.30.18,Gift of Peter Tillou in Memory of Senator John Heinz,9/12/13,Decorative Arts and Design,"Gallery 20, Bruce Galleries",0,8,0,8.875,"Peter Tillou, Litchfield, CT",Glass,Person,"unknown American, PA, Pittsburgh",,American,,,,
Compote,1850-1860,glass,2013.30.32,Gift of Peter Tillou in Memory of Senator John Heinz,9/12/13,Decorative Arts and Design,"Gallery 20, Bruce Galleries",0,5.5,0,7,"Peter Tillou, Litchfield, CT",Glass,Organization,McKee and Brothers,possibly by,American,1829-01-01,1/1/51,,
Bowl,1815-1835,glass,2013.30.23,Gift of Peter Tillou in Memory of Senator John Heinz,9/12/13,Decorative Arts and Design,"Gallery 19, Bruce Galleries",0,3,0,6,"Peter Tillou, Litchfield, CT",containers,Person,"unknown American, PA, Pittsburgh",,American,,,,
Swirl bottle,1815-1830,glass,2013.30.25,Gift of Peter Tillou in Memory of Senator John Heinz,9/12/13,Decorative Arts and Design,"Gallery 19, Bruce Galleries",0,7,0,5,"Peter Tillou, Litchfield, CT",Glass,Person,"unknown American, OH, Zanesville",,American,,,,
Swirl bottle,1815-1830,glass,2013.30.26,Gift of Peter Tillou in Memory of Senator John Heinz,9/12/13,Decorative Arts and Design,"Gallery 19, Bruce Galleries",0,7.5,0,5,"Peter Tillou, Litchfield, CT",Glass,Person,"unknown American, OH, Zanesville",,American,,,,
